fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9.296,0.435,0.225,1.053,0.042,14.721,44.412,0.995,3.387,0.7,11.177,5
13.02,0.507,0.584,1.728,0.078,18.223,32.67,0.995,3.25,0.715,10.547,4
6.287,0.488,0.152,3.413,0.021,22.042,54.817,0.997,3.352,0.845,11.191,6
6.896,0.79,0.413,2.431,0.042,22.187,-4.037,0.993,3.342,0.782,10.5,6
10.984,0.534,0.511,3.256,0.145,7.01,61.77,0.999,3.192,0.794,10.77,6
7.066,0.172,0.097,5.469,0.066,14.724,65.572,0.995,3.253,0.324,8.623,5
8.16,0.467,0.338,1.568,0.072,32.19,31.658,0.993,3.373,0.676,11.105,8
7.389,0.44,0.235,2.668,0.075,19.211,70.564,0.996,3.237,0.433,9.803,6
7.5,0.48,-0.023,1.274,0.132,12.03,41.282,0.997,3.391,0.482,12.084,5
7.33,0.53,0.202,3.36,0.145,11.513,25.868,0.999,3.187,0.543,9.742,5
12.796,0.426,0.274,-0.599,-0.014,7.588,69.547,1.0,3.337,0.583,12.148,6
8.965,0.558,0.001,2.256,0.094,31.322,27.453,0.994,3.394,0.457,9.191,6
8.828,0.53,0.259,3.527,0.13,0.038,6.093,0.997,3.353,0.717,10.119,5
9.358,0.782,0.468,4.247,0.048,8.287,44.675,0.999,3.281,0.759,8.969,4
7.157,0.421,0.002,3.368,0.13,9.854,8.115,0.998,2.901,0.572,9.308,5
9.734,0.392,0.344,1.273,0.079,-5.198,38.561,0.997,3.364,0.464,11.999,7
8.212,0.5,0.356,3.128,0.132,10.159,115.412,0.996,3.187,0.611,11.173,4
8.839,0.284,0.625,4.051,0.103,8.314,-0.624,0.998,3.332,0.855,9.999,5
7.653,0.188,0.29,1.247,0.091,13.434,42.41,0.995,3.056,0.495,9.137,6
7.977,0.293,0.264,3.265,0.083,-2.119,63.216,0.998,3.235,0.722,8.668,7
8.296,0.591,0.31,2.446,0.056,17.373,51.228,0.995,3.353,0.425,9.093,5
7.967,0.666,0.475,2.688,0.038,6.067,53.196,0.998,3.307,0.559,10.63,7
9.312,0.641,-0.048,1.837,0.033,19.829,46.752,0.998,3.381,0.704,8.291,5
8.416,0.684,0.241,2.904,0.097,31.866,51.396,0.996,2.874,0.62,10.111,5
10.634,0.457,0.452,4.047,0.126,6.533,46.02,0.999,3.351,0.852,10.87,7
10.828,0.774,0.349,0.955,0.139,31.358,95.104,0.997,3.213,0.612,9.771,5
8.169,0.378,0.105,1.784,0.064,-5.323,64.296,0.996,3.296,0.474,9.812,6
8.874,0.31,0.2,1.527,0.074,25.857,53.18,0.996,3.593,0.668,10.399,5
8.335,0.619,0.272,4.828,0.034,14.488,100.157,0.995,3.128,0.562,9.902,7
6.852,0.406,0.456,1.799,0.115,12.225,125.05,0.993,3.118,0.536,10.641,5
8.579,0.352,0.199,2.186,0.095,12.791,31.436,0.995,3.176,0.657,9.817,4
9.296,0.418,0.138,1.39,0.058,8.938,11.112,0.996,3.278,0.658,11.529,6
8.734,0.374,0.324,2.816,0.122,8.266,9.207,0.998,3.431,0.54,11.882,4
6.387,0.63,0.175,2.682,0.136,19.092,-20.667,0.996,3.18,0.599,11.66,4
7.745,0.795,0.165,3.779,0.047,-4.698,6.649,0.998,3.212,0.697,11.825,6
10.689,0.719,0.425,2.52,0.119,4.713,77.962,1.0,3.289,0.97,9.537,6
7.285,0.728,0.068,2.998,0.142,21.522,42.078,0.996,3.468,0.42,8.853,5
7.033,0.517,0.246,2.853,0.103,25.405,41.778,0.996,3.397,0.697,9.476,7
10.04,0.601,0.518,1.335,0.136,15.971,65.562,1.0,3.231,0.632,10.017,5
12.626,0.069,0.498,3.151,0.092,24.111,62.907,0.999,3.374,0.543,10.357,6
11.626,0.353,0.458,-0.319,0.157,0.448,44.059,0.997,3.37,0.332,12.893,6
6.656,0.71,0.313,2.965,0.109,-2.585,-13.145,0.999,3.129,0.696,12.027,7
9.381,0.603,0.045,2.696,0.186,17.678,47.845,0.997,3.311,0.87,9.801,5
8.419,0.458,0.185,4.957,0.125,25.588,109.776,0.995,3.13,0.678,10.926,5
6.932,0.496,0.363,0.95,0.005,20.101,23.273,0.994,3.313,0.761,9.087,5
7.963,0.599,0.479,4.274,0.023,0.728,69.131,0.998,3.534,0.911,11.431,4
9.376,0.659,0.32,2.058,0.08,3.065,86.668,0.998,3.235,0.647,11.288,7
10.712,0.761,0.465,2.602,0.041,31.245,33.692,0.994,3.396,0.581,9.651,7
8.727,0.328,0.47,1.433,0.037,7.275,116.95,0.995,3.004,0.532,11.459,5
6.719,0.538,0.423,3.598,0.038,16.421,54.877,0.995,3.201,1.164,10.624,5
11.097,0.485,0.214,4.562,0.149,16.593,19.612,0.996,3.283,0.76,8.115,6
10.334,0.43,0.372,0.118,0.002,17.252,56.999,0.997,3.247,0.749,9.119,6
10.789,0.386,0.301,2.429,0.055,24.207,21.66,0.999,3.475,0.854,11.171,5
9.409,0.909,-0.063,-0.304,0.146,28.753,32.148,0.996,3.465,0.765,11.678,6
6.896,0.836,0.424,3.397,0.114,16.67,87.213,0.994,3.247,0.542,11.09,6
11.099,0.432,0.429,4.618,0.133,16.674,68.852,1.0,3.52,0.673,9.202,5
9.293,0.447,0.33,3.399,0.068,9.62,39.015,0.997,3.05,0.645,11.036,6
7.733,0.637,-0.248,2.338,0.031,24.738,12.887,0.997,3.359,0.415,10.312,7
8.59,0.621,0.066,3.297,0.084,6.894,5.559,0.993,3.283,0.626,10.564,5
6.762,0.636,0.445,3.105,0.104,6.17,30.037,0.994,3.403,0.687,9.397,5
10.605,0.414,0.298,4.883,0.152,3.39,-33.27,0.998,3.322,0.507,7.705,6
5.526,0.725,0.287,2.932,0.049,22.103,22.9,0.995,3.215,0.71,10.783,7
7.125,0.462,0.19,1.864,0.032,-16.014,43.98,0.995,3.442,0.774,9.567,6
7.468,0.688,0.393,2.044,0.176,33.038,49.398,0.996,3.492,0.404,8.849,6
13.104,0.73,0.332,1.897,0.13,-7.489,42.38,0.996,3.483,0.649,8.115,5
9.467,0.303,0.396,2.722,0.028,-14.262,11.1,0.999,3.136,0.438,10.918,6
9.907,0.962,0.261,1.817,0.138,3.823,68.602,0.999,3.293,0.464,11.514,6
8.613,0.513,0.061,0.0,0.18,37.324,-2.852,0.997,3.345,0.529,9.77,4
9.198,0.659,0.04,0.767,0.078,14.908,42.302,0.996,3.154,0.752,9.674,5
8.268,0.575,0.108,1.12,0.044,12.815,-25.66,0.998,3.274,0.748,10.522,6
8.691,0.224,0.122,2.475,0.118,17.43,60.829,0.999,3.134,0.746,10.661,6
7.162,0.71,0.715,2.753,0.099,5.588,33.118,0.995,3.352,0.605,11.538,4
12.187,0.589,0.221,3.209,0.125,16.172,-12.165,0.998,3.12,0.499,10.829,6
4.991,0.503,0.06,1.118,0.049,14.522,32.408,0.998,3.34,0.903,11.016,6
9.828,-0.025,0.574,2.703,0.121,5.908,78.086,0.995,3.385,0.625,10.057,7
5.232,0.255,0.59,1.377,0.001,8.1,21.841,1.001,3.362,0.866,12.014,5
8.47,0.526,-0.033,4.408,0.046,18.107,68.84,0.997,3.162,0.599,7.917,7
7.877,1.075,0.3,3.478,0.107,25.307,68.576,1.0,3.399,0.799,11.209,5
10.689,0.47,0.26,1.278,0.033,5.929,69.358,0.999,3.198,0.834,12.993,6
6.965,0.503,-0.011,1.797,0.069,-5.744,40.461,0.995,3.261,0.693,10.58,6
5.911,0.678,0.197,2.987,0.108,20.989,63.944,0.996,3.224,0.452,9.834,5
8.251,0.345,0.209,2.105,0.137,1.633,69.519,0.997,3.189,0.642,9.911,6
9.758,0.638,-0.071,3.519,0.113,19.904,85.717,0.998,3.442,0.776,10.033,8
8.761,0.565,0.174,2.403,0.216,24.356,60.016,0.998,3.467,0.671,10.868,6
7.021,0.749,0.225,2.689,0.072,9.195,39.155,0.999,3.314,0.41,9.913,6
10.028,0.32,0.039,4.395,0.046,16.945,52.457,0.996,3.263,0.762,10.257,7
11.624,0.58,0.032,2.326,0.036,12.675,96.342,0.999,3.605,0.724,9.078,6
7.366,0.559,0.312,0.923,0.142,6.236,38.868,0.997,3.322,0.879,10.214,6
8.981,0.505,0.429,0.059,0.099,22.889,43.572,0.995,3.311,0.702,10.539,6
7.05,0.56,0.003,2.171,0.113,9.904,142.347,0.995,3.207,0.549,11.037,4
8.069,0.393,0.505,1.556,0.08,21.966,19.508,0.998,3.095,0.448,9.656,6
8.74,0.298,0.225,3.342,0.134,28.394,83.589,0.996,3.037,0.749,10.899,6
7.068,0.693,0.376,-0.048,0.082,3.698,37.192,0.997,3.352,0.883,9.845,6
8.078,0.713,0.504,2.154,0.145,6.88,11.321,1.0,3.396,0.63,10.944,5
7.694,0.506,0.393,3.255,-0.058,6.266,11.024,0.996,3.367,0.574,9.268,8
8.975,0.638,0.193,1.483,0.104,17.033,73.033,0.996,3.25,0.518,8.026,6
6.092,0.599,0.254,2.255,0.084,25.174,81.188,0.997,3.251,0.498,10.898,7
8.336,0.233,0.094,0.853,0.051,10.386,85.073,0.996,3.559,0.747,9.447,5
6.979,0.239,0.29,0.807,0.003,15.147,73.446,0.996,3.381,0.796,9.647,4
8.886,0.46,-0.072,2.318,0.105,8.182,18.296,0.999,3.116,0.641,10.108,6
10.532,0.576,0.214,0.676,0.021,5.515,-26.396,0.995,3.313,0.775,12.622,6
9.965,0.405,0.26,3.951,0.147,28.576,7.132,0.996,3.065,0.818,9.344,6
7.204,0.771,0.4,1.27,0.106,12.121,17.963,0.991,3.526,0.739,11.267,6
8.6,0.39,0.389,4.694,0.073,12.351,44.967,0.996,3.153,0.447,10.502,7
8.983,0.173,0.269,3.016,0.141,18.616,41.632,0.999,3.392,0.852,8.935,5
6.789,0.458,0.523,2.829,0.073,25.601,49.775,0.996,3.434,0.785,8.54,5
5.778,0.857,0.119,1.788,0.031,19.766,46.729,0.999,3.325,0.661,10.784,4
5.446,0.734,0.11,1.593,0.219,12.728,86.4,0.998,3.323,0.787,12.06,6
6.854,0.198,0.48,5.431,0.161,11.534,103.186,0.996,3.38,0.851,11.513,3
8.338,0.74,0.557,3.769,0.109,16.166,58.621,0.998,3.379,0.764,10.884,7
8.398,0.454,0.245,2.324,0.093,8.473,60.653,0.995,3.481,0.641,8.909,5
9.526,0.556,0.296,3.591,0.064,30.09,49.032,0.998,3.258,0.618,11.007,6
7.399,0.643,0.566,4.656,0.072,8.385,49.191,0.998,3.305,0.771,9.55,6
8.618,0.625,0.192,2.897,0.01,6.603,62.019,0.996,3.508,0.473,9.911,5
11.002,0.489,0.07,1.953,0.03,32.113,81.696,0.999,3.511,0.851,9.681,4
8.477,0.397,0.081,2.347,0.145,3.387,41.976,0.996,3.23,0.874,9.595,6
11.722,0.626,0.092,3.287,0.058,15.624,53.563,0.998,3.193,0.676,11.232,6
10.598,0.138,0.187,1.868,-0.012,24.491,10.002,0.996,3.417,0.492,10.861,5
10.046,0.686,0.314,2.492,0.09,17.525,116.199,0.996,3.325,0.334,9.887,5
7.78,0.319,0.139,5.072,0.073,10.659,48.446,1.0,3.25,0.691,11.095,6
8.907,0.574,0.552,2.282,0.063,20.759,18.781,0.995,3.166,0.735,10.048,5
8.21,0.231,0.386,2.05,0.14,13.301,49.275,0.999,3.299,0.667,10.68,6
9.701,0.611,0.529,5.479,0.107,17.785,84.186,1.001,3.323,0.748,10.995,5
7.969,0.621,0.481,2.87,0.168,21.111,15.26,0.995,3.596,0.592,9.915,5
6.918,0.816,0.271,2.854,0.117,23.847,89.447,0.995,3.391,0.936,9.991,5
7.422,0.488,0.094,3.907,0.141,23.251,19.743,0.997,3.381,0.519,9.99,6
10.867,0.45,0.416,1.858,-0.005,13.691,-24.989,0.995,3.371,0.26,9.847,6
9.137,0.237,0.383,2.847,0.071,12.626,124.675,0.996,3.372,0.654,11.726,7
11.554,0.793,0.123,4.758,0.067,20.006,35.142,0.999,3.411,0.491,11.462,5
7.067,0.203,-0.079,3.726,0.032,11.026,8.107,0.998,3.124,0.662,10.612,6
9.442,0.225,0.452,2.645,0.092,4.791,34.048,0.997,3.461,0.362,11.849,6
8.806,0.287,0.248,3.313,0.048,20.772,88.456,1.0,3.523,1.178,11.385,6
5.077,0.581,0.39,3.404,0.003,25.212,86.001,0.994,3.027,0.912,8.971,6
9.887,0.532,0.165,4.354,0.103,25.841,52.536,0.996,3.405,0.725,10.896,4
6.356,0.487,0.536,1.16,0.093,24.115,-1.521,0.995,3.138,1.035,9.369,3
8.566,0.292,0.319,2.101,0.105,21.996,25.522,0.994,3.272,0.346,11.048,7
10.188,0.509,0.313,2.256,0.078,21.937,40.101,0.997,3.387,0.653,10.443,5
8.515,0.237,0.166,2.461,-0.007,15.018,87.936,0.997,3.447,0.665,9.458,6
5.586,0.736,0.202,1.957,0.185,14.904,68.074,0.996,3.391,0.761,8.722,5
10.342,0.494,-0.022,0.285,0.086,19.827,49.296,0.994,3.253,0.988,9.18,7
7.94,0.704,0.46,2.349,0.198,17.699,14.135,0.997,3.09,0.813,13.358,5
7.838,0.22,0.216,5.188,0.107,20.67,-13.405,0.997,3.213,0.722,10.721,5
9.433,0.436,0.261,5.284,0.031,21.709,22.858,1.0,3.303,0.379,10.106,7
8.302,0.57,0.573,1.663,0.113,19.111,5.681,0.993,3.105,0.541,8.766,5
11.18,0.633,0.088,6.152,0.029,16.63,15.837,0.998,3.278,1.001,10.845,4
6.684,0.713,0.274,2.242,0.023,16.803,21.122,0.997,3.165,0.511,11.068,6
4.812,0.338,-0.087,4.789,0.109,12.237,73.786,1.001,3.78,0.703,8.781,6
10.793,0.473,-0.024,5.066,0.046,2.658,52.393,0.999,3.036,0.428,10.102,7
7.238,0.269,0.49,2.042,0.091,29.725,79.414,0.996,3.332,0.539,10.387,6
6.562,0.27,0.21,2.762,0.067,25.746,73.297,0.999,3.324,0.767,10.925,8
8.975,0.625,0.347,4.13,0.105,40.729,43.461,0.996,3.391,0.668,12.363,7
9.281,0.645,-0.193,3.506,0.109,25.126,48.598,0.997,3.475,0.802,8.435,6
8.653,0.16,0.336,1.356,0.075,16.027,-1.755,0.993,3.145,0.937,10.063,7
8.724,0.233,0.333,3.431,0.099,12.23,14.934,0.997,3.341,0.922,10.307,5
6.431,0.329,0.426,1.478,0.079,35.252,85.812,0.993,3.374,0.597,10.922,7
8.816,0.546,0.436,3.601,0.16,28.656,8.265,0.996,3.253,0.69,9.885,6
7.527,0.683,0.677,3.394,0.072,18.365,46.088,0.999,3.4,0.548,10.511,6
5.359,0.748,-0.056,1.596,0.117,21.947,69.152,0.997,3.261,0.739,10.786,6
7.05,0.385,0.155,3.392,0.06,9.132,49.063,0.997,3.295,0.624,11.08,5
7.084,0.53,-0.068,0.045,0.057,8.897,71.569,0.994,3.373,0.505,10.081,7
5.875,0.387,0.444,0.857,0.011,12.296,59.943,0.993,3.622,0.916,10.345,6
4.999,0.157,0.351,2.502,0.137,16.999,17.928,0.994,3.195,0.392,10.573,6
9.363,0.604,0.49,2.688,0.049,6.714,17.256,0.995,3.307,0.716,10.13,5
9.864,0.811,0.041,2.065,0.134,29.085,47.745,0.998,3.305,0.59,10.442,5
9.715,0.623,-0.176,0.853,0.166,11.719,27.113,0.998,3.186,0.419,10.301,5
11.132,0.346,0.226,2.102,0.183,8.797,36.125,0.994,3.269,0.872,10.011,6
6.469,0.67,0.206,5.128,0.074,24.734,49.611,1.0,3.28,0.462,10.338,5
9.272,0.363,0.021,1.386,0.015,10.32,56.527,0.999,3.234,0.693,11.161,5
7.512,0.655,0.441,0.343,0.047,17.973,32.482,0.995,3.364,0.343,8.865,6
6.595,0.345,0.659,2.731,0.061,28.316,29.529,0.996,3.307,0.893,12.424,5
7.989,0.719,0.244,0.978,0.014,7.181,-1.836,0.998,3.348,0.57,10.4,6
9.713,0.637,0.481,1.698,0.066,16.074,49.01,0.996,3.452,0.792,10.092,6
6.988,0.718,0.002,4.355,0.099,45.893,11.939,0.995,3.083,0.833,10.472,6
10.427,0.355,0.509,2.624,0.06,15.173,114.615,0.998,3.502,0.564,12.304,5
5.616,0.412,-0.07,2.651,0.059,22.181,39.638,0.998,3.36,0.505,10.259,6
7.991,0.327,0.403,2.261,0.088,14.514,54.28,0.998,3.147,0.462,9.519,5
10.158,0.566,0.084,2.698,0.115,5.679,57.76,0.996,3.263,0.59,10.498,6
8.127,0.741,0.044,1.151,0.048,15.382,55.824,0.997,3.349,0.551,10.059,6
11.149,0.326,0.319,2.612,0.136,26.658,54.514,0.997,3.18,0.513,9.119,6
11.637,0.466,-0.032,3.877,0.092,21.851,56.363,0.996,3.135,0.583,8.126,5
8.62,0.461,0.339,3.482,0.11,12.623,76.195,0.996,3.37,0.633,9.377,6
7.675,0.648,0.349,2.919,-0.022,0.883,33.031,0.999,3.296,0.721,10.875,5
8.709,0.403,0.332,4.864,0.07,22.235,17.989,0.999,3.281,0.613,10.343,5
8.823,0.373,0.146,2.677,0.064,36.214,-21.13,0.994,3.442,0.407,9.164,5
8.866,0.568,0.331,2.743,0.139,31.346,5.398,0.999,3.2,0.553,10.353,5
10.351,0.745,0.558,1.851,0.122,23.688,17.115,0.992,3.358,0.673,9.796,5
10.147,0.54,0.362,2.312,0.012,19.871,17.325,0.999,3.476,0.861,7.972,5
9.88,0.583,0.036,2.734,0.115,22.86,25.831,0.997,3.305,0.866,10.077,6
8.291,0.315,0.574,1.636,0.114,16.768,76.157,0.996,3.314,0.269,10.328,5
8.589,0.377,0.442,3.348,0.102,21.686,80.756,0.995,3.309,0.446,10.101,6
7.793,0.863,0.3,2.651,0.059,23.667,107.699,0.998,3.244,0.338,9.982,6
10.191,0.438,0.447,3.448,0.115,10.948,77.645,0.997,3.307,0.413,9.909,5
6.373,0.622,0.307,2.318,0.023,11.975,109.469,0.998,3.285,0.597,12.823,5
6.975,0.354,0.594,3.488,0.083,9.963,27.085,0.996,3.453,0.772,9.566,6
6.947,0.41,0.382,2.678,0.089,17.682,30.997,0.996,3.475,0.534,10.343,6
8.232,0.76,0.295,3.644,0.11,25.39,107.353,0.995,3.128,0.864,9.056,5
7.168,0.805,0.354,4.29,0.027,17.824,65.846,0.995,3.494,1.063,9.373,5
6.163,0.478,-0.15,0.244,0.224,14.436,-15.425,0.998,3.606,0.937,9.757,7
9.056,0.423,0.435,1.864,0.158,18.79,82.854,0.994,3.263,0.864,12.114,6
5.167,0.407,0.128,0.528,0.061,10.821,-3.422,0.998,3.218,0.822,10.916,5
7.383,0.811,0.357,2.074,0.008,6.266,34.791,1.001,3.197,0.898,11.225,7
5.991,0.797,0.353,3.243,0.05,18.34,-42.982,0.995,3.266,0.376,7.921,6
7.812,0.543,0.158,2.013,0.107,23.08,62.304,0.997,3.138,0.757,10.076,7
9.844,0.218,0.063,2.307,0.055,9.464,-19.705,0.994,3.386,0.655,11.63,5
11.231,0.83,0.497,2.294,0.058,10.305,14.95,0.996,3.241,0.68,12.606,7
10.36,0.338,0.197,2.755,0.04,11.272,0.179,0.993,3.245,0.629,8.737,5
4.778,0.763,0.132,3.828,0.038,13.141,12.208,0.998,3.482,0.276,11.606,5
7.595,0.401,-0.014,1.978,0.11,16.088,96.279,0.996,3.066,0.603,10.701,8
9.811,0.484,0.364,2.085,0.096,25.489,0.144,0.994,3.399,0.718,8.985,5
9.396,0.194,0.103,2.761,0.107,15.104,5.886,0.993,3.272,0.513,12.831,5
10.476,0.503,0.186,2.872,0.027,-1.15,46.095,1.0,3.356,0.88,9.492,5
6.953,0.558,0.127,1.978,0.08,27.966,57.597,0.996,3.468,0.624,10.556,6
9.926,0.958,0.441,2.448,0.045,3.695,78.928,1.0,3.319,0.486,11.175,6
8.172,0.934,0.126,3.985,0.034,4.579,20.567,1.0,3.187,0.56,11.024,5
6.74,0.438,0.022,1.75,0.104,20.115,94.485,0.995,3.126,0.46,11.454,6
5.889,0.441,0.015,5.17,0.054,25.688,22.873,0.996,3.125,0.683,10.076,7
7.05,0.477,0.112,2.912,0.111,18.121,44.364,0.996,3.437,0.763,9.92,5
8.044,0.682,0.322,3.948,0.092,13.491,95.187,0.999,3.251,0.832,10.964,6
7.251,0.603,0.266,2.993,0.112,18.676,17.003,0.999,2.959,0.536,10.423,5
8.872,0.587,0.42,4.196,0.137,26.269,1.271,0.995,3.251,1.004,9.167,5
8.18,0.613,0.002,0.492,0.073,14.027,59.537,0.997,3.141,0.563,10.099,4
8.753,0.741,-0.298,2.616,0.136,34.198,23.48,0.995,3.19,0.812,9.832,6
8.815,0.494,0.286,4.132,0.01,34.279,32.493,0.996,3.315,0.767,8.623,5
6.363,0.364,0.33,2.903,0.149,27.295,-12.501,0.998,3.503,1.098,10.541,5
11.727,0.605,0.223,3.222,0.131,30.095,37.874,0.996,3.073,0.664,10.472,6
7.453,0.602,0.273,0.807,0.184,12.72,11.362,0.994,3.301,0.803,9.704,6
9.888,0.377,0.285,2.677,0.081,6.129,43.086,0.996,3.402,0.491,10.961,6
7.738,0.349,0.272,4.736,0.107,1.829,13.262,1.0,3.361,0.27,11.83,4
8.709,0.555,0.15,2.9,0.098,20.484,42.802,0.995,3.122,0.637,9.344,5
6.371,0.68,0.649,1.791,0.169,13.981,82.692,0.994,3.571,0.624,10.353,7
7.126,0.343,0.443,1.895,-0.045,24.941,83.651,0.994,3.568,0.798,10.857,5
8.375,0.877,0.219,2.03,0.08,10.59,51.662,0.996,3.352,0.818,9.702,6
6.083,0.351,0.048,3.401,0.038,23.391,81.299,0.994,3.251,0.651,9.471,6
8.169,0.582,0.149,1.813,0.105,16.656,30.663,0.998,3.146,0.558,10.895,5
6.896,0.573,0.255,4.154,0.215,21.628,61.466,0.996,3.454,0.498,11.089,4
9.47,0.321,0.49,1.487,0.116,10.776,36.919,0.998,3.336,0.339,10.106,5
9.819,0.844,0.311,1.771,0.044,13.651,93.661,0.997,2.946,0.783,11.433,5
7.753,0.491,0.216,2.139,0.087,20.53,-15.246,0.999,3.316,0.533,10.41,7
9.94,0.465,0.226,3.557,0.191,16.581,91.596,0.995,3.378,0.587,9.523,5
12.457,0.592,0.283,3.719,0.037,14.708,63.72,0.998,3.314,1.004,8.766,6
6.249,0.75,0.161,1.863,0.042,9.414,67.459,1.0,3.131,0.866,10.871,4
8.847,0.584,0.465,2.862,0.027,9.913,82.196,0.998,3.482,0.516,11.569,7
10.167,0.591,0.133,2.619,-0.007,18.235,48.552,0.997,3.444,0.744,10.035,5
10.298,0.745,0.126,1.355,0.106,-3.519,104.423,0.997,3.317,0.612,9.075,5
9.176,0.337,-0.217,5.413,0.044,7.358,42.194,0.997,3.206,0.711,10.972,5
9.429,0.483,0.119,2.657,0.01,25.69,86.463,0.997,3.198,0.663,9.894,6
10.61,0.571,0.396,1.413,0.087,15.236,101.971,0.998,3.325,0.841,10.237,4
8.517,0.695,0.365,5.253,0.125,9.329,79.172,0.995,3.335,0.851,11.236,4
5.975,0.583,0.494,4.228,0.091,30.592,41.078,0.997,3.373,0.919,11.909,6
9.526,0.632,0.198,1.383,0.015,12.507,-22.145,0.998,3.192,0.688,8.977,4
7.802,0.833,0.486,2.467,0.1,35.81,-6.884,0.997,3.128,0.406,9.125,7
8.465,0.431,0.328,4.818,0.041,34.176,101.816,0.994,3.397,0.687,10.24,6
5.621,0.653,0.104,3.787,0.09,12.058,23.033,0.995,3.189,0.636,10.153,6
